title,year,authors,citations,abstract
Cybench: A Framework for Evaluating Cybersecurity Capabilities and Risks of Language Models,2024,"Andy K. Zhang, Neil Perry, Riya Dulepet",84,"Language Model (LM) agents for cybersecurity that are capable of autonomously identifying vulnerabilities and executing exploits have potential to cause real-world impact. Policymakers, model provider"
Harnessing adversarial machine learning for advanced threat detection: AI-driven strategies in cybersecurity risk assessment and fraud prevention,2024,"Idoko Peter, Onuh Matthew Ijiga, Idoko Peter Idoko",82,"The abstract is ""The rapid evolution of cyber threats necessitates innovative defenses, particularly in the domains of risk assessment and fraud detection. This paper explores the integration of Artif"
Artificial intelligence (AI) cybersecurity dimensions: a comprehensive framework for understanding adversarial and offensive AI,2024,"Masike Malatji, Alaa Tolah",81,"As Artificial Intelligence (AI) rapidly advances and integrates into various domains, cybersecurity emerges as a critical field grappling with both the benefits and pitfalls of AI technologies. This p"
CYBERSECURITY CHALLENGES IN THE AGE OF AI: THEORETICAL APPROACHES AND PRACTICAL SOLUTIONS,2024,Babajide Tolulope Familoni,77,"In the ever-evolving landscape of cybersecurity, the proliferation of artificial intelligence (AI) technologies introduces both promising advancements and daunting challenges. This paper explores the "
Cybersecurity compliance in financial institutions: A comparative analysis of global standards and regulations,2024,"Ngozi Samuel Uzougbo, Chinonso Gladys Ikegwu, Adefolake Olachi Adewusi",73,"Cybersecurity is a critical concern for financial institutions worldwide, given the increasing frequency and sophistication of cyberattacks. This paper conducts a comparative analysis of global standa"
CYBERSECURITY IN BANKING: A GLOBAL PERSPECTIVE WITH A FOCUS ON NIGERIAN PRACTICES,2024,"Azeez Olanipekun Hassan, Sarah Kuzankah Ewuga, Adekunle Abiola Abdul",91,"The paper review cybersecurity practices in banking, with a specific focus on Nigerian banks. Cybersecurity has become a paramount concern in the banking industry worldwide, given the escalating frequ"
A Critical Cybersecurity Analysis and Future Research Directions for the Internet of Things: A Comprehensive Review,2023,"U. Tariq, Irfan Uddin Ahmed, A. Bashir",244,"The emergence of the Internet of Things (IoT) technology has brought about tremendous possibilities, but at the same time, it has opened up new vulnerabilities and attack vectors that could compromise"
Digital Transformation and Cybersecurity Challenges for Businesses Resilience: Issues and Recommendations,2023,"Saqib Saeed, Salha A. Altamimi, Norah A. Alkayyal",226,This systematic literature review explores the digital transformation (DT) and cybersecurity implications for achieving business resilience. DT involves transitioning organizational processes to IT so
"From COBIT to ISO 42001: Evaluating Cybersecurity Frameworks for Opportunities, Risks, and Regulatory Compliance in Commercializing Large Language Models",2024,"Timothy R. Mcintosh, Teo Sušnjak, Tong Liu",68,"This study investigated the integration readiness of four predominant cybersecurity Governance, Risk and Compliance (GRC) frameworks - NIST CSF 2.0, COBIT 2019, ISO 27001:2022, and the latest ISO 4200"
Cybersecurity Threats Detection in Intelligent Networks using Predictive Analytics Approaches,2024,"Shomili Duary, Pratyusha Choudhury, Sushruta Mishra",82,The modern scenario of network vulnerabilities necessitates the adoption of sophisticated detection and mitigation strategies. Predictive analytics is surfaced to be a powerful tool in the fight again
REVOLUTIONIZING CYBERSECURITY: UNLEASHING THE POWER OF ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING FOR NEXT- GENERATION THREAT DETECTION,2024,"Ashok Manoharan, Mithun Sarker",60,"Cybersecurity is a critical concern in the digital landscape. AI and ML offer hope by revolutionizing threat detection. With these technologies, organizations can spot anomalies, analyze behavioral pa"
Aligning sustainable development goals with cybersecurity strategies: Ensuring a secure and sustainable future,2024,"Adebimpe Bolatito, Adebimpe Bolatito Ige, Eseoghene Kupa",59,"This study explores the critical intersection between cybersecurity and sustainable development, aiming to understand how cybersecurity measures can support the achievement of the Sustainable Developm"
A Situation Based Predictive Approach for Cybersecurity Intrusion Detection and Prevention Using Machine Learning and Deep Learning Algorithms in Wireless Sensor Networks of Industry 4.0,2024,"F. Al‐Quayed, Z. Ahmad, M. Humayun",58,"Industry 4.0 is fundamentally based on networked systems. Real-time communication between machines, sensors, devices, and people makes it easier to transmit the data needed to make decisions. Informed"
Generative AI in Cybersecurity: A Comprehensive Review of LLM Applications and Vulnerabilities,2024,"M. Ferrag, Fatima Alwahedi, A. Battah",53,"This paper provides a comprehensive review of the future of cybersecurity through Generative AI and Large Language Models (LLMs). We explore LLM applications across various domains, including hardware"
Advances and Vulnerabilities in Modern Cryptographic Techniques: A Comprehensive Survey on Cybersecurity in the Domain of Machine/Deep Learning and Quantum Techniques,2024,"Abid Mehmood, Arslan Shafique, Moatsum Alawida",53,"In the contemporary landscape, where a huge amount of data plays a vital role, the importance of strong and robust cybersecurity measures has become increasingly paramount. This research proposes a re"
Tides of Blockchain in IoT Cybersecurity,2024,"Love Allen Chijioke Ahakonye, C. I. Nwakanma, Dong-Seong Kim",67,"This paper surveys the implementation of blockchain technology in cybersecurity in Internet of Things (IoT) networks, presenting a comprehensive framework that integrates blockchain technology with in"
Advancing cybersecurity and privacy with artificial intelligence: current trends and future research directions,2024,"K. Achuthan, S. Ramanathan, Sethuraman Srinivas",61,Introduction The rapid escalation of cyber threats necessitates innovative strategies to enhance cybersecurity and privacy measures. Artificial Intelligence (AI) has emerged as a promising tool poised
Developing comprehensive cybersecurity frameworks for protecting green infrastructure: Conceptual models and practical applications,2024,"Adebimpe Bolatito, Adebimpe Bolatito Ige, Eseoghene Kupa",49,"This study investigates the critical intersection of cybersecurity and green infrastructure (GI), aiming to elucidate the challenges, opportunities, and strategic approaches necessary for safeguarding"
The integration of artificial intelligence in cybersecurity measures for sustainable finance platforms: An analysis,2024,"Ezekiel Onyekachukwu Udeh, Prisca Amajuoyi, Kudirat Bukola Adeusi",49,"This study delves into the integration of Artificial Intelligence (AI) in cybersecurity measures within smart cities, aiming to uncover both the challenges and opportunities this fusion presents. With"
Application of Large Language Models in Cybersecurity: A Systematic Literature Review,2024,"I. Hasanov, Seppo Virtanen, Antti Hakkala",49,The emergence of Large Language Models (LLMs) is currently creating a major paradigm shift in societies and businesses in the way digital technologies are used. While the disruptive effect is especial
A REVIEW OF CYBERSECURITY STRATEGIES IN MODERN ORGANIZATIONS: EXAMINING THE EVOLUTION AND EFFECTIVENESS OF CYBERSECURITY MEASURES FOR DATA PROTECTION,2024,"Temitayo Oluwaseun Abrahams, Sarah Kuzankah Ewuga, Samuel Onimisi Dawodu",49,"In an era where digital threats are increasingly pervasive, understanding the evolution and efficacy of cybersecurity strategies in modern organizations is paramount. This study provides a comprehensi"
Industry 4.0 data security: A cybersecurity frameworks review,2024,"M. Toussaint, Sylvère Krima, Hervé Panetto",47,"As manufacturers are adopting data-driven decisions and processes, manufacturing is becoming more vulnerable to digital threats, making data security a major challenge for Industry 4.0. More specifica"
Artificial intelligence in cybersecurity: Protecting national infrastructure: A USA review,2024,"Donald Obinna Daraojimba, Adebunmi Okechukwu Adewusi, U. Okoli",46,"Artificial Intelligence (AI) has emerged as a transformative force in the field of cybersecurity, playing a pivotal role in safeguarding national infrastructure. This review focuses on the application"
Local Government Cybersecurity Landscape: A Systematic Review and Conceptual Framework,2024,"Sk Tahsin Hossain, Tan Yigitcanlar, Kien Nguyen",45,"Local governments face critical challenges in the era of digital transformation, balancing the responsibility of safeguarding resident information and administrative documents while maintaining data i"
AI-Powered Data-Driven Cybersecurity Techniques: Boosting Threat Identification and Reaction,2024,"Nayem Uddin Prince, Muhammad Ashraf Faheem, Obyed Ullah Khan",42,Introduction: This paper aims at discussing and analyzing ways in which artificial intelligence revolutionizes the approach to cybersecurity by focusing on data. This work indicates the incorporating 
Best practices in cybersecurity for green building management systems: Protecting sustainable infrastructure from cyber threats,2024,"Adebimpe Bolatito, Adebimpe Bolatito Ige, Eseoghene Kupa",55,"This study explores the critical intersection of cybersecurity and sustainable infrastructure, with a focus on Green Building Management Systems (GBMS). Recognizing the increasing sophistication of cy"
Cybersecurity in Autonomous Vehicles—Are We Ready for the Challenge?,2024,"Irmina Durlik, Tymoteusz Miller, Ewelina Kostecka",51,"The rapid development and deployment of autonomous vehicles (AVs) present unprecedented opportunities and challenges in the transportation sector. While AVs promise enhanced safety, efficiency, and co"
"The future of Cybersecurity in renewable energy systems: A review, identifying challenges and proposing strategic solutions",2024,"Darlington Eze Ekechukwu, Peter Simpa",39,"This study provides a comprehensive examination of cybersecurity within renewable energy systems, highlighting the critical role of cybersecurity measures in ensuring the sustainability and reliabilit"
DATA CONFIDENTIALITY AND INTEGRITY: A REVIEW OF ACCOUNTING AND CYBERSECURITY CONTROLS IN SUPERANNUATION ORGANIZATIONS,2024,"Anthony Anyanwu, Temidayo Olorunsogo, Temitayo Oluwaseun Abrahams",37,"In an era dominated by digital transformation, superannuation organizations face unprecedented challenges in safeguarding the confidentiality and integrity of sensitive financial data. This review exp"
Recent Advances on Federated Learning for Cybersecurity and Cybersecurity for Federated Learning for Internet of Things,2022,"Bimal Ghimire, D. Rawat",356,"Decentralized paradigm in the field of cybersecurity and machine learning (ML) for the emerging Internet of Things (IoT) has gained a lot of attention from the government, academia, and industries in "
The importance of cybersecurity in protecting renewable energy investment: A strategic analysis of threats and solutions,2024,"Darlington Eze Ekechukwu, Peter Simpa",32,"This study explores the critical nexus between cybersecurity and the viability of renewable energy systems, emphasizing the importance of robust cybersecurity measures for the sustainability and succe"
Do cybersecurity threats and risks have an impact on the adoption of digital banking? A systematic literature review,2024,"Natile Nonhlanhla Cele, Sheila Kwenda",34,"
Purpose
The purpose of the study is to identify cybersecurity threats that hinder the adoption of digital banking and provide sustainable strategies to combat cybersecurity risks in the banking indus"
CYBERSECURITY DYNAMICS IN NIGERIAN BANKING: TRENDS AND STRATEGIES REVIEW,2024,"Oluwatosin Reis, Johnson Sunday Oliha, Femi Osasona",34,"This paper provides an in-depth review of the cybersecurity dynamics within the Nigerian banking sector, emphasizing recent trends and strategic approaches to address emerging challenges. As a review "
