title,year,authors,citations,abstract
Global Regulatory Frameworks for the Use of Artificial Intelligence (AI) in the Healthcare Services Sector,2024,"K. Palaniappan, Elaine Yan Ting Lin, Silke Vogel",184,The healthcare sector is faced with challenges due to a shrinking healthcare workforce and a rise in chronic diseases that are worsening with demographic and epidemiological shifts. Digital health int
The Role of AI in Hospitals and Clinics: Transforming Healthcare in the 21st Century,2024,"Shiva Maleki Varnosfaderani, Mohamad Forouzanfar",591,"As healthcare systems around the world face challenges such as escalating costs, limited access, and growing demand for personalized care, artificial intelligence (AI) is emerging as a key force for t"
Healthcare on the brink: navigating the challenges of an aging society in the United States,2024,"Charles H. Jones, Mikael Dolsten",224,"The US healthcare system is at a crossroads. With an aging population requiring more care and a strained system facing workforce shortages, capacity issues, and fragmentation, innovative solutions and"
Challenges and strategies for wide-scale artificial intelligence (AI) deployment in healthcare practices: A perspective for healthcare organizations,2024,Pouyan Esmaeilzadeh,240,"Healthcare organizations have realized that Artificial intelligence (AI) can provide a competitive edge through personalized patient experiences, improved patient outcomes, early diagnosis, augmented "
"Balancing Privacy and Progress: A Review of Privacy Challenges, Systemic Oversight, and Patient Perceptions in AI-Driven Healthcare",2024,"Steven M. Williamson, Victor R. Prybutok",330,"Integrating Artificial Intelligence (AI) in healthcare represents a transformative shift with substantial potential for enhancing patient care. This paper critically examines this integration, confron"
"Generative AI in healthcare: an implementation science informed translational path on application, integration and governance",2024,S. Reddy,337,"Artificial intelligence (AI), particularly generative AI, has emerged as a transformative tool in healthcare, with the potential to revolutionize clinical decision-making and improve health outcomes. "
A Comprehensive Review on Exploring the Impact of Telemedicine on Healthcare Accessibility,2024,"P. Anawade, Deepak Sharma, Shailesh Gahane",187,"Telemedicine has emerged as a transformative force in healthcare delivery, particularly in improving healthcare accessibility. This comprehensive review examines the impact of telemedicine on healthca"
Evaluating the Feasibility of ChatGPT in Healthcare: An Analysis of Multiple Clinical and Research Scenarios,2023,"M. Cascella, J. Montomoli, Valentina Bellini",1000,This paper aims to highlight the potential applications and limits of a large language model (LLM) in healthcare. ChatGPT is a recently developed LLM that was trained on a massive dataset of text for 
MONAI: An open-source framework for deep learning in healthcare,2022,"M. Cardoso, Wenqi Li, Richard Brown",856,"Artificial Intelligence (AI) is having a tremendous impact across most areas of science. Applications of AI in healthcare have the potential to improve our ability to detect, diagnose, prognose, and i"
"Federated Learning in Smart Healthcare: A Comprehensive Review on Privacy, Security, and Predictive Analytics with IoT Integration",2024,"Syed Raza Abbas, Zeeshan Abbas, Arifa Zahir",130,Federated learning (FL) is revolutionizing healthcare by enabling collaborative machine learning across institutions while preserving patient privacy and meeting regulatory standards. This review delv
Managing mental health challenges faced by healthcare workers during covid-19 pandemic,2020,"N. Greenberg, M. Docherty, S. Gnanapragasam",1757,Neil Greenberg and colleagues set out measures that healthcare managers need to put in place to protect the mental health of healthcare staff having to make morally challenging decisions
Explainability for artificial intelligence in healthcare: a multidisciplinary perspective,2020,"J. Amann, A. Blasimme, E. Vayena",1436,Background Explainability is one of the most heavily debated topics when it comes to the application of artificial intelligence (AI) in healthcare. Even though AI-driven systems have been shown to out
The Role of Artificial Intelligence in Improving Patient Outcomes and Future of Healthcare Delivery in Cardiology: A Narrative Review of the Literature,2024,"Dhir Gala, Haditya Behl, Mili Shah",124,Cardiovascular diseases exert a significant burden on the healthcare system worldwide. This narrative literature review discusses the role of artificial intelligence (AI) in the field of cardiology. A
"Telemedicine for healthcare: Capabilities, features, barriers, and applications",2021,"A. Haleem, M. Javaid, R. Singh",1168,"Regular hospital visits can be expensive, particularly in rural areas, due to travel costs. In the era of the Covid-19 Pandemic, where physical interaction becomes risky, people prefer telemedicine. F"
Artificial intelligence in healthcare: transforming the practice of medicine,2021,"Junaid Bajwa, Usman Munir, A. Nori",1172,"ABSTRACT Artificial intelligence (AI) is a powerful and disruptive area of computer science, with the potential to fundamentally transform the practice of medicine and the delivery of healthcare. In t"
Patient Satisfaction with Healthcare Services and the Techniques Used for its Assessment: A Systematic Literature Review and a Bibliometric Analysis,2023,"D. Ferreira, Inês Vieira, M. I. Pedro",363,Patient satisfaction with healthcare provision services and the factors influencing it are be-coming the main focus of many scientific studies. Assuring the quality of the provided services is essenti
Delphi methodology in healthcare research: How to decide its appropriateness,2021,"P. Nasa, Ravi Jain, D. Juneja",1265,The Delphi technique is a systematic process of forecasting using the collective opinion of panel members. The structured method of developing consensus among panel members using Delphi methodology ha
The Impact of Limited English Proficiency on Healthcare Access and Outcomes in the U.S.: A Scoping Review,2024,"S. Twersky, Rebeca Jefferson, Lisbet Garcia-Ortiz",95,"A majority of individuals with limited English proficiency (LEP) in the U.S. are foreign-born, creating a complex intersection of language, socio-economic, and policy barriers to healthcare access and"
Leveraging Generative AI and Large Language Models: A Comprehensive Roadmap for Healthcare Integration,2023,"Ping Yu, Hua Xu, Xia Hu",218,"Generative artificial intelligence (AI) and large language models (LLMs), exemplified by ChatGPT, are promising for revolutionizing data and information management in healthcare and medicine. However,"
The imperative for regulatory oversight of large language models (or generative AI) in healthcare,2023,"B. Meskó, E. Topol",769,The rapid advancements in artificial intelligence (AI) have led to the development of sophisticated large language models (LLMs) such as GPT-4 and Bard. The potential implementation of LLMs in healthc
Digital Transformation in Healthcare: Technology Acceptance and Its Applications,2023,"Angelos I. Stoumpos, F. Kitsios, M. Talias",624,"Technological innovation has become an integral aspect of our daily life, such as wearable and information technology, virtual reality and the Internet of Things which have contributed to transforming"
A Review of the Role of Artificial Intelligence in Healthcare,2023,"Ahmed Al Kuwaiti, Khalid Nazer, Abdullah Al-Reedy",567,Artificial intelligence (AI) applications have transformed healthcare. This study is based on a general literature review uncovering the role of AI in healthcare and focuses on the following key aspec
Large language models in healthcare and medical domain: A review,2023,"Zabir Al Nazi, Wei Peng",398,The deployment of large language models (LLMs) within the healthcare sector has sparked both enthusiasm and apprehension. These models exhibit the remarkable ability to provide proficient responses to
Fairness of artificial intelligence in healthcare: review and recommendations,2023,"D. Ueda, Taichi Kakinuma, S. Fujita",394,"In this review, we address the issue of fairness in the clinical integration of artificial intelligence (AI) in the medical field. As the clinical adoption of deep learning algorithms, a subfield of A"
Privacy-preserving artificial intelligence in healthcare: Techniques and applications,2023,"N. Khalid, Adnan Qayyum, M. Bilal",361,"There has been an increasing interest in translating artificial intelligence (AI) research into clinically-validated applications to improve the performance, capacity, and efficacy of healthcare servi"
Survey of Explainable AI Techniques in Healthcare,2023,"A. Chaddad, Jihao Peng, Jian Xu",449,"Artificial intelligence (AI) with deep learning models has been widely applied in numerous domains, including medical imaging and healthcare tasks. In the medical field, any judgment or decision is fr"
ChatGPT in Healthcare: A Taxonomy and Systematic Review,2023,"Jianning Li, Amin Dada, B. Puladi",351,"The recent release of ChatGPT, a chat bot research project/product of natural language processing (NLP) by OpenAI, stirs up a sensation among both the general public and medical professionals, amassin"
Drawbacks of Artificial Intelligence and Their Potential Solutions in the Healthcare Sector,2023,"Bangul Khan, Hajira Fatima, A. Qureshi",345,"Artificial intelligence (AI) has the potential to make substantial progress toward the goal of making healthcare more personalized, predictive, preventative, and interactive. We believe AI will contin"
Digital twin in healthcare: Recent updates and challenges,2023,"Tianze Sun, Xiwang He, Zhonghai Li",311,"As simulation is playing an increasingly important role in medicine, providing the individual patient with a customised diagnosis and treatment is envisaged as part of future precision medicine. Such "
A Systematic Review of the Barriers to the Implementation of Artificial Intelligence in Healthcare,2023,"Molla Imaduddin Ahmed, B. Spooner, J. Isherwood",294,"Artificial intelligence (AI) is expected to improve healthcare outcomes by facilitating early diagnosis, reducing the medical administrative burden, aiding drug development, personalising medical and "
