title,year,authors,citations,abstract
A Novel Zero-Trust Identity Framework for Agentic AI: Decentralized Authentication and Fine-Grained Access Control,2025,"Ken Huang, Vineeth Sai Narajala, J. Yeoh",23,"Traditional Identity and Access Management (IAM) systems, primarily designed for human users or static machine identities via protocols such as OAuth, OpenID Connect (OIDC), and SAML, prove fundamenta"
"The Rise of Agentic AI: Implications, Concerns, and the Path Forward",2025,"San Murugesan, San Murugesan",67,"Agentic artificial intelligence (AI) represents a transformative leap in AI, evolving beyond reactive systems to autonomous, goal-oriented agents capable of learning, adapting, and making independent "
THE ROLE OF AGENTIC AI AND GENERATIVE AI IN TRANSFORMING MODERN BANKING SERVICES,2025,Archana Todupunuri,39,The research is based on the importance of the agentic AI and generative AI that can change the current banking services. The entire analysis has been executed using secondary qualitative analysis usi
Vibe Coding vs. Agentic Coding: Fundamentals and Practical Implications of Agentic AI,2025,"Ranjan Sapkota, Konstantinos I. Roumeliotis, Manoj Karkee",45,"This review presents a comprehensive analysis of two emerging paradigms in AI-assisted software development: vibe coding and agentic coding. While both leverage large language models (LLMs), they diff"
Securing Agentic AI: A Comprehensive Threat Model and Mitigation Framework for Generative AI Agents,2025,"Vineeth Sai Narajala, Om Narayan",34,"As generative AI (GenAI) agents become more common in enterprise settings, they introduce security challenges that differ significantly from those posed by traditional systems. These agents aren’t jus"
"Toward Edge General Intelligence With Agentic AI and Agentification: Concepts, Technologies, and Future Directions",2025,"Ruichen Zhang, Guangyuan Liu, Yinqiu Liu",30,The rapid expansion of sixth-generation (6G) wireless networks and the Internet of Things (IoT) has catalyzed the evolution from centralized cloud intelligence towards decentralized edge general intel
Toward Agentic AI: Generative Information Retrieval Inspired Intelligent Communications and Networking,2025,"Ruichen Zhang, Shunpu Tang, Yinqiu Liu",34,"The increasing complexity and scale of modern telecommunications networks demand intelligent automation to enhance efficiency, adaptability, and resilience. Agentic AI has emerged as a pivotal paradig"
"Generative AI and LLMs for Critical Infrastructure Protection: Evaluation Benchmarks, Agentic AI, Challenges, and Opportunities",2025,"Yagmur Yigit, M. Ferrag, M. C. Ghanem",37,"Critical National Infrastructures (CNIs)—including energy grids, water systems, transportation networks, and communication frameworks—are essential to modern society yet face escalating cybersecurity "
"Agentic AI: a comprehensive survey of architectures, applications, and future directions",2025,"Mohamad Abou Ali, F. Dornaika",28,"Agentic AI represents a transformative shift in artificial intelligence, but its rapid advancement has led to a fragmented understanding, often conflating modern neural systems with outdated symbolic "
AI Agents and Agentic AI-Navigating a Plethora of Concepts for Future Manufacturing,2025,"Yinwang Ren, Yangyang Liu, Tang Ji",18,"AI agents are autonomous systems designed to perceive, reason, and act within dynamic environments. With the rapid advancements in generative AI (GenAI), large language models (LLMs) and multimodal la"
Agentic AI Frameworks in SMMEs: A Systematic Literature Review of Ecosystemic Interconnected Agents,2025,"Peter Adebowale Olujimi, P. Owolawi, R. Mogase",17,"This study examines the application of agentic artificial intelligence (AI) frameworks within small, medium, and micro-enterprises (SMMEs), highlighting how interconnected autonomous agents improve op"
"Agentic AI Frameworks: Architectures, Protocols, and Design Challenges",2025,"Hana Derouiche, Zaki Brahmi, Haithem Mazeni",17,"The emergence of Large Language Models (LLMs) has ushered in a transformative paradigm in artificial intelligence, Agentic AI, where intelligent agents exhibit goal-directed autonomy, contextual reaso"
"Agentic AI: Autonomy, Accountability, and the Algorithmic Society",2025,"Anirban Mukherjee, H. Chang",21,"Agentic Artificial Intelligence (AI) can autonomously pursue long-term goals, make decisions, and execute complex, multi-turn workflows. Unlike traditional generative AI, which responds reactively to "
Agentic AI Needs a Systems Theory,2025,"Erik Miehling, K. Ramamurthy, Kush R. Varshney",25,The endowment of AI with reasoning capabilities and some degree of agency is widely viewed as a path toward more capable and generalizable systems. Our position is that the current development of agen
"Agentic AI: A Comprehensive Survey of Technologies, Applications, and Societal Implications",2025,Ashis Kumar Pati,23,"Agentic AI brings a new level of advancement in artificial intelligence (AI), as it is capable of goal-directed behaviour, dynamic adaptation, and self-improvement. It influences various significant f"
Retail Resilience Engine: An Agentic AI Framework for Building Reliable Retail Systems With Test-Driven Development Approach,2025,"L. Mishra, Biswaranjan Senapati",16,System reliability and operational resilience are two critical success factors in the retail industry that are directly connected to customer satisfaction and business sustainability. Staying competit
Towards a HIPAA Compliant Agentic AI System in Healthcare,2025,"Subash Neupane, Shaswata Mitra, Sudip Mittal",17,"Agentic AI systems powered by Large Language Models (LLMs) as their foundational reasoning engine, are transforming clinical workflows such as medical report generation and clinical summarization by a"
UAVs Meet Agentic AI: A Multidomain Survey of Autonomous Aerial Intelligence and Agentic UAVs,2025,"Ranjan Sapkota, Konstantinos I. Roumeliotis, Manoj Karkee",19,"Agentic UAVs represent a new frontier in autonomous aerial intelligence, integrating perception, decision-making, memory, and collaborative planning to operate adaptively in complex, real-world enviro"
SustAI-SCM: Intelligent Supply Chain Process Automation with Agentic AI for Sustainability and Cost Efficiency,2025,Batin Latif Aylak,25,"Sustainable supply chain management (SCM) demands efficiency while minimizing environmental impact, yet conventional automation lacks adaptability. This paper presents SustAI-SCM, an AI-powered framew"
From prompt to platform: an agentic AI workflow for healthcare simulation scenario design,2025,"F. L. Barra, Giovanna Rodella, Alessandro Costa",22,"Healthcare simulation scenario design remains a resource-intensive process, demanding significant time and expertise from educators. This article presents an innovative AI-driven agentic workflow for "
Agentic AI Systems in Organ Health Management: Early Detection of Rejection in Transplant Patients,2025,Sambasiva Rao Suura,15,The purpose of this essay is to examine the integration of agentic artificial intelligence (AI) systems in the management of organ health. Aspects of this analysis include the importance of custom sof
Human-Artificial Interaction in the Age of Agentic AI: A System-Theoretical Approach,2025,"Uwe M. Borghoff, Paolo Bottoni, R. Pareschi",54,"This paper presents a novel perspective on human-computer interaction (HCI), framing it as a dynamic interplay between human and computational agents within a networked system. Going beyond traditiona"
"Agentic AI Security: Threats, Defenses, Evaluation, and Open Challenges",2025,"Anshuman Chhabra, Shrestha Datta, Shahriar Kabir Nahin",12,"Agentic AI systems powered by Large Language Models (LLMs) and endowed with planning, tool use, memory, and autonomy are emerging as powerful and flexible platforms for automation. Their ability to au"
System of Agentic AI for the Discovery of Metal-Organic Frameworks,2025,"Théo Jaffrelot Inizan, Sherry Yang, Aaron D. Kaplan",13,Generative models and machine learning promise accelerated material discovery in MOFs for CO2 capture and water harvesting but face significant challenges navigating vast chemical spaces while ensurin
Hallucination Mitigation using Agentic AI Natural Language-Based Frameworks,2025,"Diego Gosmar, Deborah A. Dahl",24,"Hallucinations remain a significant challenge in current Generative AI models, undermining trust in AI systems and their reliability. This study investigates how orchestrating multiple specialized Art"
Advanced Architectures Integrated with Agentic AI for Next-Generation Wireless Networks,2025,"K. Dev, S. A. Khowaja, Engin Zeydan",18,"This paper investigates a range of cutting-edge technologies and architectural innovations aimed at simplifying network operations, reducing operational expenditure (OpEx), and enabling the deployment"
Agentic AI Software Engineers: Programming with Trust,2025,"Abhik Roychoudhury, C. Păsăreanu, Michael Pradel",15,"How LLM agents present AI software engineering workflows of the future, and whether the focus of programming will shift from scale to trust."
Building Appropriate Mental Models: What Users Know and Want to Know about an Agentic AI Chatbot,2025,"Michelle Brachman, Siya Kunde, Sarah Miller",14,Agentic systems aim to handle complex problems with increasing system autonomy using generative AI. These new agentic systems are becoming more feasible and easier to build. Yet we know little about w
Towards Embodied Agentic AI: Review and Classification of LLM- and VLM-Driven Robot Autonomy and Interaction,2025,"Sahar Salimpour, Leijie Fu, Farhad Keramat",14,"Foundation models, including large language models (LLMs) and vision-language models (VLMs), have recently enabled novel approaches to robot autonomy and human-robot interfaces. In parallel, vision-la"
"Trustworthy agentic AI systems: a cross-layer review of architectures, threat models, and governance strategies for real-world deployment",2025,"Ibrahim Adabara, Bashir Olaniyi Sadiq, Aliyu Nuhu Shuaibu",12,"Agentic Artificial Intelligence systems, characterized by autonomous reasoning, memory augmentation, and adaptive planning, are rapidly reshaping technological landscapes. Unlike traditional AI or lar"
Wireless Agentic AI with Retrieval-Augmented Multimodal Semantic Perception,2025,"Guangyuan Liu, Yinqiu Liu, Ruichen Zhang",11,"The rapid growth of multimodal agentic AI and LLMs enables richer perception and decision making, yet bandwidth-limited multi-agent links hinder timely exchange of task-critical semantics. Existing ap"
Toward Agentic AI Networking in 6G: A Generative Foundation Model-as-Agent Approach,2025,"Yong Xiao, Guangming Shi, Ping Zhang",12,The promising potential of AI and network convergence in improving networking performance and enabling new service capabilities has recently attracted significant interest. Existing network AI solutio
Agentic AI in Education: State of the Art and Future Directions,2025,"Georgios Kostopoulos, Vasileios Gkamas, Maria Rigou",12,"Agentic AI systems are self-contained, goal-based entities designed to operate autonomously with little human intervention and dynamically respond to shifting contexts. This survey considers their tra"
